,IUPAC_NAME,GIVEN_NAME,SMILES,MW,H_ACCEPTOR,H_DONOR,TPSA
0,Propane,Propane,CCC,44.096999999999994,0,0,0.0
1,Phenoxyethanol,Alcohol Denat. (Sd Alcohol 40-B),O(C1=CC=CC=C1)C(C)O,138.166,2,1,29.46
2,"5-[5-[3,4-dihydroxy-6-(hydroxymethyl)-5-methoxyoxan-2-yl]oxy-6-[[3,4-dihydroxy-6-(hydroxymethyl)-5-methoxyoxan-2-yl]oxymethyl]-3,4-dihydroxyoxan-2-yl]oxy-6-(hydroxymethyl)-2-methyloxane-3,4-diol",Oryza Sativa (Rice/Riz) Starch,OC1C(OC(C(C1O)OC)CO)OC1C(C(C(OC1COC1OC(C(C(C1O)O)OC)CO)OC1C(C(C(OC1CO)C)O)O)O)O,692.6610000000005,20,11,305.59999999999997
3,1-methyl-4-(1-methylethenyl)-cyclohexene,Fragrance/Parfum,CC1=CCC(CC1)C(=C)C,136.238,0,0,0.0
4,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,Disteardimonium Hectorite,OC1C(CCC=C1)(C=O)CCCC(C)C,210.31699999999995,2,1,37.3
5,Hydroxycitronellal,Cyclopentasiloxane,CC(CCCC(C)(C)O)CC=O,172.268,2,1,37.3
6,Water,Water/Eau/Aqua,O,18.015,0,0,31.5
7,"1,3,5,7-Tetrahydroxy-2,4,6,8,9,10-hexaoxa-1,3,5,7-tetrasilatricyclo[5.1.1.13,5]decane",Hippophae Rhamnoides (Sea Buckthorn/Argousier) Extract,O[Si]12O[Si]3(O[Si](O[Si](O1)(O2)O)(O3)O)O,276.36599999999993,10,4,136.3
8,Cyclopentasiloxane,Phenoxyethanol,O1[SiH2]O[SiH2]O[SiH2]O[SiH2]O[SiH2]1,230.50499999999997,5,0,46.150000000000006
9,"(3S)-3,7-dimethyloct-6-en-1-ol",Butylphenyl Methylpropional,C[C@H](CCO)CCC=C(C)C,156.26899999999998,1,1,20.23
10,3-(4-tert-Butylphenyl)-2-methylpropanal,Limonene,C(C)(C)(C)C1=CC=C(C=C1)CC(C=O)C,204.31299999999996,1,0,17.07
11,Butane,Hydroxycitronellal,CCCC,58.123999999999995,0,0,0.0
12,Ethanol,Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde,C(C)O,46.069,1,1,20.23
13,citronellol,"(3S)-3,7-dimethyloct-6-en-1-ol",CC(C)=CCCC(C)CCO,156.269,1,1,20.23
